#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:1901363	Heterocyclic compound binding	17	1281	0.6	0.64	6.29e-05	7227.FBpp0077473,7227.FBpp0079641,7227.FBpp0080710,7227.FBpp0081956,7227.FBpp0082105,7227.FBpp0082106,7227.FBpp0082175,7227.FBpp0082682,7227.FBpp0083099,7227.FBpp0086694,7227.FBpp0112160,7227.FBpp0291358,7227.FBpp0291573,7227.FBpp0301153,7227.FBpp0303766,7227.FBpp0305095,7227.FBpp0307166	Rab5,Cdk1,Ddc,Hsp70Ab,Hsp70Bbb,Hsp70Bb,Hsc70-2,Akt1,Mekk1,Hsc70-5,Ire1,Pvr,bsk,Cdc42,Mps1,Hsp83,Drp1
GO:0005524	ATP binding	13	836	0.67	0.64	0.00034	7227.FBpp0079641,7227.FBpp0081956,7227.FBpp0082105,7227.FBpp0082106,7227.FBpp0082175,7227.FBpp0082682,7227.FBpp0083099,7227.FBpp0086694,7227.FBpp0112160,7227.FBpp0291358,7227.FBpp0291573,7227.FBpp0303766,7227.FBpp0305095	Cdk1,Hsp70Ab,Hsp70Bbb,Hsp70Bb,Hsc70-2,Akt1,Mekk1,Hsc70-5,Ire1,Pvr,bsk,Mps1,Hsp83
GO:0004784	Superoxide dismutase activity	3	6	2.18	1.21	0.00039	7227.FBpp0075958,7227.FBpp0308571,7227.FBpp0311603	Sod1,Sod3,Sod2
GO:0017111	Ribonucleoside triphosphate phosphatase activity	9	409	0.82	0.69	0.00089	7227.FBpp0077473,7227.FBpp0081956,7227.FBpp0082105,7227.FBpp0082106,7227.FBpp0082175,7227.FBpp0086694,7227.FBpp0301153,7227.FBpp0305095,7227.FBpp0307166	Rab5,Hsp70Ab,Hsp70Bbb,Hsp70Bb,Hsc70-2,Hsc70-5,Cdc42,Hsp83,Drp1
GO:0004672	Protein kinase activity	7	244	0.94	0.7	0.0018	7227.FBpp0079641,7227.FBpp0082682,7227.FBpp0083099,7227.FBpp0112160,7227.FBpp0291358,7227.FBpp0291573,7227.FBpp0303766	Cdk1,Akt1,Mekk1,Ire1,Pvr,bsk,Mps1
GO:0004674	Protein serine/threonine kinase activity	6	184	1.0	0.67	0.0035	7227.FBpp0079641,7227.FBpp0082682,7227.FBpp0083099,7227.FBpp0112160,7227.FBpp0291573,7227.FBpp0303766	Cdk1,Akt1,Mekk1,Ire1,bsk,Mps1
GO:0042802	Identical protein binding	6	188	0.99	0.66	0.0038	7227.FBpp0075958,7227.FBpp0077453,7227.FBpp0082248,7227.FBpp0110266,7227.FBpp0297683,7227.FBpp0303187	Sod1,dpp,Ace,Hsf,Dscam1,Tl
GO:0016209	Antioxidant activity	4	61	1.3	0.71	0.0056	7227.FBpp0074825,7227.FBpp0075958,7227.FBpp0308571,7227.FBpp0311603	Cat,Sod1,Sod3,Sod2
GO:0051082	Unfolded protein binding	4	67	1.26	0.67	0.0077	7227.FBpp0086694,7227.FBpp0112160,7227.FBpp0301282,7227.FBpp0305095	Hsc70-5,Ire1,Hsp23,Hsp83
GO:0005125	Cytokine activity	3	26	1.54	0.68	0.0097	7227.FBpp0077453,7227.FBpp0112376,7227.FBpp0310402	dpp,upd3,scw
GO:0005507	Copper ion binding	3	26	1.54	0.68	0.0097	7227.FBpp0075958,7227.FBpp0308571,7227.FBpp0311981	Sod1,Sod3,MtnB
GO:0016887	ATP hydrolysis activity	6	261	0.84	0.48	0.0180	7227.FBpp0081956,7227.FBpp0082105,7227.FBpp0082106,7227.FBpp0082175,7227.FBpp0086694,7227.FBpp0305095	Hsp70Ab,Hsp70Bbb,Hsp70Bb,Hsc70-2,Hsc70-5,Hsp83
GO:0005102	Signaling receptor binding	6	263	0.84	0.47	0.0182	7227.FBpp0077453,7227.FBpp0083153,7227.FBpp0112376,7227.FBpp0305095,7227.FBpp0306651,7227.FBpp0310402	dpp,Dl,upd3,Hsp83,Stat92E,scw
GO:0106310	Protein serine kinase activity	4	95	1.11	0.51	0.0231	7227.FBpp0079641,7227.FBpp0082682,7227.FBpp0112160,7227.FBpp0291573	Cdk1,Akt1,Ire1,bsk
GO:0019838	Growth factor binding	2	7	1.94	0.56	0.0275	7227.FBpp0084273,7227.FBpp0291358	Lgr3,Pvr
GO:0048018	Receptor ligand activity	4	110	1.04	0.45	0.0365	7227.FBpp0077453,7227.FBpp0083153,7227.FBpp0112376,7227.FBpp0310402	dpp,Dl,upd3,scw
