functional_category,Cd_n,Cd_percent,Pb_n,Pb_percent,Hg_n,Hg_percent,category_statistic,permutation_p,BH_FDR_q
Proteostasis,1,3.7037037037037037,5,20.833333333333332,8,53.333333333333336,0.13384604320420818,0.00022999770002299976,0.0013799862001379986
Neuronal function,7,25.925925925925927,8,33.333333333333336,1,6.666666666666667,0.03943860603793264,0.03623963760362396,0.07247927520724792
Oxidative stress,2,7.407407407407407,3,12.5,0,0.0,0.008166860807854073,0.27259727402725975,0.3271167288327117
Detoxification/metal homeostasis,5,18.51851851851852,1,4.166666666666667,4,26.666666666666668,0.02646023223253863,0.02069979300206998,0.062099379006209945
Mitochondrial processes,1,3.7037037037037037,0,0.0,0,0.0,0.0009381128909748439,0.97880021199788,0.9788002119978799
Signaling/other,11,40.74074074074074,7,29.166666666666668,2,13.333333333333334,0.03982077367388815,0.1061289387106129,0.15919340806591933
