"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","nucleoside phosphate binding","GO:1901265","false","0.00001936069318439241","4.713079097401219","1194","48","19","11914","FBGN0010379,FBGN0004106,FBGN0010341,FBGN0026479,FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0261984,FBGN0000229,FBGN0024329,FBGN0000063,FBGN0032006,FBGN0014010"
"GO:MF","ATP binding","GO:0005524","false","0.000024122505685452422","4.617577582566478","833","48","16","11914","FBGN0010379,FBGN0004106,FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0261984,FBGN0000229,FBGN0024329,FBGN0000063,FBGN0032006"
"GO:MF","adenyl ribonucleotide binding","GO:0032559","false","0.00002709767591860022","4.567067955583526","840","48","16","11914","FBGN0010379,FBGN0004106,FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0261984,FBGN0000229,FBGN0024329,FBGN0000063,FBGN0032006"
"GO:MF","binding","GO:0005488","false","0.000029103471448831426","4.536055205476177","7100","48","45","11914","FBGN0010379,FBGN0000490,FBGN0005590,FBGN0000261,FBGN0004106,FBGN0010341,FBGN0000422,FBGN0029131,FBGN0000463,FBGN0039683,FBGN0026479,FBGN0033159,FBGN0020388,FBGN0001217,FBGN0001220,FBGN0001222,FBGN0001224,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0261984,FBGN0000229,FBGN0039354,FBGN0024329,FBGN0000063,FBGN0040305,FBGN0002868,FBGN0002869,FBGN0038790,FBGN0053192,FBGN0032006,FBGN0014010,FBGN0052062,FBGN0263289,FBGN0003462,FBGN0010213,FBGN0033631,FBGN0016917,FBGN0262473,FBGN0035934,FBGN0261113"
"GO:MF","adenyl nucleotide binding","GO:0030554","false","0.00006022528122966491","4.220221163331172","890","48","16","11914","FBGN0010379,FBGN0004106,FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0261984,FBGN0000229,FBGN0024329,FBGN0000063,FBGN0032006"
"GO:MF","ribonucleoside triphosphate phosphatase activity","GO:0017111","false","0.0002167487503820814","3.6640433976751936","423","48","11","11914","FBGN0010341,FBGN0026479,FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0014010"
"GO:MF","oxidoreductase activity, acting on superoxide radicals as acceptor","GO:0016721","false","0.0003851943342642828","3.414320109439128","6","48","3","11914","FBGN0003462,FBGN0010213,FBGN0033631"
"GO:MF","superoxide dismutase activity","GO:0004784","true","0.0003851943342642828","3.414320109439128","6","48","3","11914","FBGN0003462,FBGN0010213,FBGN0033631"
"GO:MF","pyrophosphatase activity","GO:0016462","false","0.00043491332339776716","3.3615972876910694","454","48","11","11914","FBGN0010341,FBGN0026479,FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0014010"
"GO:MF","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","GO:0016818","false","0.0004739079857912815","3.3243059729721205","458","48","11","11914","FBGN0010341,FBGN0026479,FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0014010"
"GO:MF","hydrolase activity, acting on acid anhydrides","GO:0016817","false","0.0004739079857912815","3.3243059729721205","458","48","11","11914","FBGN0010341,FBGN0026479,FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0014010"
"GO:MF","ATP hydrolysis activity","GO:0016887","false","0.004005378692012972","2.3973564168889467","276","48","8","11914","FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233"
"GO:MF","ATP-dependent activity","GO:0140657","false","0.011195720557513097","1.9509479499561986","416","48","9","11914","FBGN0001217,FBGN0001220,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233"
"GO:MF","protein kinase activity","GO:0004672","true","0.015379962508028233","1.8130447232196527","243","48","7","11914","FBGN0010379,FBGN0004106,FBGN0261984,FBGN0000229,FBGN0024329,FBGN0000063,FBGN0032006"
"GO:MF","protein serine/threonine kinase activity","GO:0004674","false","0.0291977789379926","1.534650183882438","185","48","6","11914","FBGN0010379,FBGN0004106,FBGN0261984,FBGN0000229,FBGN0024329,FBGN0000063"
"GO:MF","antioxidant activity","GO:0016209","false","0.032359654175988836","1.4899961282916034","61","48","4","11914","FBGN0000261,FBGN0003462,FBGN0010213,FBGN0033631"
"GO:MF","cytokine activity","GO:0005125","true","0.047316741545834005","1.3249851705823348","26","48","3","11914","FBGN0000490,FBGN0005590,FBGN0053542"
"GO:MF","copper ion binding","GO:0005507","true","0.047316741545834005","1.3249851705823348","26","48","3","11914","FBGN0002869,FBGN0003462,FBGN0033631"
"GO:BP","response to stimulus","GO:0050896","true","5.111129330109923e-14","13.291483129680165","3173","48","41","11642","FBGN0010379,FBGN0000490,FBGN0005590,FBGN0000261,FBGN0004106,FBGN0010341,FBGN0000422,FBGN0029131,FBGN0000463,FBGN0033159,FBGN0001222,FBGN0001224,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0261984,FBGN0000229,FBGN0039354,FBGN0024329,FBGN0000063,FBGN0040305,FBGN0002868,FBGN0002869,FBGN0038790,FBGN0053192,FBGN0032006,FBGN0014010,FBGN0052062,FBGN0263289,FBGN0003462,FBGN0010213,FBGN0033631,FBGN0016917,FBGN0262473,FBGN0035934,FBGN0053542,FBGN0261113"
"GO:BP","response to stress","GO:0006950","false","2.4496769808755726e-13","12.61089117876691","1422","48","30","11642","FBGN0010379,FBGN0000261,FBGN0004106,FBGN0010341,FBGN0000422,FBGN0029131,FBGN0001222,FBGN0001224,FBGN0013275,FBGN0013276,FBGN0013277,FBGN0013278,FBGN0051354,FBGN0013279,FBGN0001233,FBGN0261984,FBGN0000229,FBGN0024329,FBGN0000063,FBGN0040305,FBGN0032006,FBGN0052062,FBGN0003462,FBGN0010213,FBGN0033631,FBGN0016917,FBGN0262473,FBGN0035934,FBGN0053542,FBGN0261113"
